checkpoint,gen_len,rouge1_f,rouge2_f,rougel_f,bert_score_f1,chrf++,bleu,meteor
checkpoint-5,17.3086,28.3472,13.6715,25.6117,77.106,36.055,10.9312,28.2693
checkpoint-10,17.9393,28.5318,13.7822,25.7967,77.0877,37.1313,11.3196,28.8166
checkpoint-20,23.2076,27.0257,12.5114,24.4839,76.175,38.8347,10.7231,29.0458
