checkpoint,gen_len,rouge1_f,rouge2_f,rougel_f,bert_score_f1,chrf++,bleu,meteor
checkpoint-1,28.5254,27.5093,12.8689,24.9481,76.9721,36.8263,8.7239,25.7877
checkpoint-5,29.5675,29.6157,14.3995,26.8771,77.9207,39.0962,10.2914,28.3542
checkpoint-10,29.5421,30.4751,15.0693,27.705,78.2533,39.8055,10.7023,29.0795
checkpoint-15,29.6419,30.607,15.1734,27.8276,78.3665,39.9895,10.7479,29.2643
checkpoint-20,29.7094,30.7346,15.2225,27.9426,78.3572,40.0573,10.9116,29.4225
