checkpoint,gen_len,rouge1_f,rouge2_f,rougel_f,bert_score_f1,chrf++,bleu,meteor
checkpoint-1,16.8448,27.6208,13.1655,24.7906,76.6617,34.5505,10.2944,27.2294
checkpoint-2,17.0465,27.5998,13.1305,24.8251,76.8588,35.2836,10.349,27.5693
checkpoint-3,17.3789,28.0156,13.5553,25.2542,76.9728,35.6485,10.6785,27.8397
